City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Port Alfred,26,ZA,1587333533,45,-33.59,26.89,79.66,12.66
Butaritari,28,KI,1587333533,76,3.07,172.79,83.1,10.04
Bredasdorp,9,ZA,1587333426,87,-34.53,20.04,59.0,3.36
Leiyang,44,CN,1587333533,84,26.4,112.86,61.03,1.12
Provideniya,100,RU,1587333534,95,64.38,-173.3,20.86,15.19
Tiksi,100,RU,1587333534,89,71.69,128.87,10.42,6.31
Hermanus,73,ZA,1587333534,96,-34.42,19.23,60.01,1.99
Zabul Province,12,AF,1587333534,37,32.25,67.25,50.79,4.99
Barrow,90,US,1587333534,85,71.29,-156.79,12.2,4.7
Khatanga,56,RU,1587333436,94,71.97,102.5,18.54,4.68
Jiuquan,5,CN,1587333535,29,39.74,98.52,39.7,3.29
Kristiansund,42,NO,1587333536,93,63.11,7.73,41.0,6.93
Hong Kong,94,HK,1587333279,88,22.29,114.16,75.99,3.0
São Filipe,0,CV,1587333536,75,14.9,-24.5,72.19,19.3
Sørland,100,NO,1587333536,93,67.67,12.69,40.8,18.63
Tual,1,ID,1587333536,72,-5.67,132.75,83.97,6.8
Punta Arenas,40,CL,1587333398,70,-53.15,-70.92,42.8,25.28
Puerto Colombia,92,CO,1587333536,66,10.99,-74.95,86.0,16.11
Rusape,46,ZW,1587333537,60,-18.53,32.13,55.36,6.49
Takoradze,100,GH,1587333537,80,4.88,-1.76,82.62,8.28
Faanui,67,PF,1587333430,74,-16.48,-151.75,83.21,14.52
Ribeira Grande,14,PT,1587333537,63,38.52,-28.7,57.29,17.54
College,90,US,1587333537,86,64.86,-147.8,44.01,2.73
Cape Town,75,ZA,1587333337,77,-33.93,18.42,64.0,17.22
Valente,84,BR,1587333321,77,-11.41,-39.46,74.75,8.93
Skjervøy,75,NO,1587333553,100,70.03,20.97,39.2,23.04
Vila Franca do Campo,20,PT,1587333553,62,37.72,-25.43,57.2,14.99
‘Āhuimanu,1,US,1587333553,51,21.44,-157.84,84.2,8.05
Port Hardy,40,CA,1587333409,87,50.7,-127.42,50.0,5.82
Vaini,20,TO,1587333553,74,-21.2,-175.2,82.4,10.29
Mahon,100,ES,1587333554,100,39.89,4.27,60.8,8.05
Yangi Marg`ilon,0,UZ,1587333554,50,40.43,71.72,57.2,9.17
Bengkulu,100,ID,1587333554,84,-3.8,102.27,77.49,3.58
Benghazi,55,LY,1587333554,44,32.12,20.07,66.24,11.65
Torbay,90,CA,1587333459,92,47.67,-52.73,35.01,39.15
Tezu,100,IN,1587333554,70,27.92,96.17,65.35,4.23
Korla,100,CN,1587333555,43,41.76,86.15,57.99,1.01
Aleksandrov Gay,100,RU,1587333555,56,50.15,48.57,46.51,6.89
Acaraú,20,BR,1587333510,85,-2.89,-40.12,78.73,5.23
Pevek,100,RU,1587333555,94,69.7,170.31,6.69,5.68
Vao,100,NC,1587333555,79,-22.67,167.48,76.21,14.85
Chui,4,UY,1587333555,78,-33.7,-53.46,67.73,8.21
Cayenne,75,GF,1587333448,88,4.93,-52.33,80.6,5.82
Souillac,75,MU,1587333556,88,-20.52,57.52,73.99,6.93
Arrondissement de Clermont,69,FR,1587333556,87,49.5,2.42,52.0,13.87
Saskylakh,0,RU,1587333556,94,71.92,114.08,12.06,3.33
Saint George,1,US,1587333556,30,37.1,-113.58,71.6,8.05
Klaksvík,1,FO,1587333556,93,62.23,-6.59,42.8,8.05
Ilhabela,41,BR,1587333556,73,-23.78,-45.36,72.7,7.72
Nelson,23,NZ,1587333556,86,-41.28,173.28,59.0,3.0
Mayo,1,US,1587333557,58,38.89,-76.51,64.99,10.29
San Juan,0,AR,1587333339,24,-31.54,-68.54,83.64,12.37
Pokhara,63,NP,1587333557,29,28.23,83.98,61.47,3.27
Waipawa,18,NZ,1587333557,61,-41.41,175.52,59.0,5.99
East London,0,ZA,1587333557,58,-33.02,27.91,75.74,13.09
Liwale,85,TZ,1587333557,84,-9.77,37.93,67.5,3.69
Luanda,40,AO,1587333494,88,-8.84,13.23,80.6,4.7
Ambanja,80,MG,1587333558,81,-13.68,48.45,76.48,2.59
Boende,100,CD,1587333558,88,-0.22,20.87,71.92,2.75
Cherskiy,100,RU,1587333558,93,68.75,161.3,4.64,6.87
Bandrele,96,YT,1587333558,78,-12.91,45.19,80.6,6.93
Liverpool,0,GB,1587333310,49,53.41,-2.98,48.99,13.87
Nanortalik,13,GL,1587333543,90,60.14,-45.24,29.89,13.42
Narsaq,0,GL,1587333558,50,60.92,-46.05,33.8,3.36
Mānāvadar,3,IN,1587333559,58,21.5,70.13,78.26,6.69
Nyurba,80,RU,1587333559,95,63.28,118.33,12.06,3.71
Riverton,1,US,1587333344,47,40.52,-111.94,60.01,10.29
Kurchum,0,KZ,1587333559,46,48.57,83.65,46.69,7.72
Klyuchi,57,RU,1587333476,39,52.27,79.17,54.52,5.03
Esperance,0,AU,1587333574,87,-33.87,121.9,51.8,8.05
Qaanaaq,76,GL,1587333575,85,77.48,-69.36,19.06,9.19
Te Anau,53,NZ,1587333575,64,-45.42,167.72,47.3,6.08
Raudeberg,0,NO,1587333575,75,61.99,5.14,42.8,5.35
Mergen,100,CN,1587333575,95,49.18,125.22,25.72,20.96
Dzilam González,51,MX,1587333575,24,21.28,-88.93,102.99,5.01
Pampa,1,US,1587333575,28,35.54,-100.96,73.4,8.05
Ust-Tsilma,100,RU,1587333462,97,65.44,52.15,32.11,4.23
Imbituba,20,BR,1587333576,64,-28.24,-48.67,69.8,6.93
Kahului,20,US,1587333420,54,20.89,-156.47,80.6,6.93
Kloulklubed,75,PW,1587333576,88,7.04,134.26,78.8,9.17
Bagotville,5,AU,1587333576,93,-28.98,153.42,60.8,4.7
Vikhorevka,0,RU,1587333576,44,56.12,101.16,21.2,4.47
Mahébourg,75,MU,1587333482,88,-20.41,57.7,73.99,6.93
La Palma,90,US,1587333577,55,33.85,-118.05,66.99,6.93
Ukiah,1,US,1587333531,39,39.15,-123.21,66.99,9.17
Santa Isabel Rio Negro,61,BR,1587333577,63,-0.41,-65.02,86.61,3.33
Marawi,40,PH,1587333577,75,8.0,124.29,69.01,2.21
Aksha,99,RU,1587333577,79,50.28,113.29,20.1,9.26
Fort Nelson,75,CA,1587333577,31,58.81,-122.7,64.4,13.87
Taltal,0,CL,1587333578,61,-25.4,-70.48,68.9,4.23
Siuna,46,NI,1587333578,37,13.73,-84.78,92.1,5.64
Gudalur,11,IN,1587333578,69,9.68,77.27,75.94,1.34
Lebu,100,CL,1587333578,67,-37.62,-73.65,58.77,10.25
Laas,90,IT,1587333579,93,46.62,10.7,48.2,4.7
Bābra,91,IN,1587333579,43,21.85,71.3,80.76,10.96
Yumen,20,CN,1587333579,26,40.28,97.2,41.52,12.71
Dawei,70,MM,1587333579,73,14.08,98.2,77.45,2.28
Rurrenabaque,0,BO,1587333579,46,-14.44,-67.53,85.03,2.89
Salalah,20,OM,1587333579,69,17.02,54.09,82.4,5.82
Leshukonskoye,100,RU,1587333579,97,64.9,45.76,31.96,4.23
Leningradskiy,95,RU,1587333580,92,69.38,178.42,10.92,7.92
Melo,0,UY,1587333580,54,-32.37,-54.18,69.31,1.23
Longyearbyen,75,SJ,1587333451,93,78.22,15.64,32.0,32.21
Sur,2,OM,1587333580,50,22.57,59.53,84.51,7.18
Nuevitas,0,CU,1587333580,60,21.55,-77.26,85.15,14.23
Byron Bay,2,AU,1587333580,93,-28.65,153.62,60.8,4.7
Yar-Sale,99,RU,1587333580,97,66.83,70.83,34.14,7.58
Tuktoyaktuk,90,CA,1587333473,85,69.45,-133.04,10.4,11.41
Bathsheba,40,BB,1587333581,65,13.22,-59.52,82.4,19.46
Hilo,20,US,1587333581,51,19.73,-155.09,82.4,9.17
Chokurdakh,94,RU,1587333433,94,70.63,147.92,6.67,10.47
Pleasanton,1,US,1587333569,52,37.66,-121.87,69.01,10.29
Pangai,20,TO,1587333581,74,-19.8,-174.35,82.4,16.11
Presidencia Roque Sáenz Peña,0,AR,1587333596,39,-26.79,-60.44,79.93,3.87
Negombo,0,LK,1587333597,100,7.21,79.84,77.0,3.36
Victor Harbor,92,AU,1587333597,77,-35.57,138.62,62.01,5.01
Port-Gentil,40,GA,1587333597,88,-0.72,8.78,82.4,6.93
Saint-Joseph,20,RE,1587333597,69,-21.37,55.62,73.4,8.05
Thompson,90,CA,1587333581,85,55.74,-97.86,23.0,8.05
Ternate,37,ID,1587333587,77,0.8,127.4,80.31,2.42
Grindavik,90,IS,1587333597,100,63.84,-22.43,46.4,33.33
Caravelas,76,BR,1587333598,76,-17.71,-39.25,76.26,17.02
Kajaani,95,FI,1587333598,92,64.23,27.73,35.6,5.82
Waddān,100,LY,1587333598,15,29.16,16.14,78.84,17.49
George Town,20,MY,1587333528,94,5.41,100.34,80.6,3.36
Killybegs,1,IE,1587333598,72,54.63,-8.45,48.81,12.44
Olafsvik,100,IS,1587333433,94,64.89,-23.71,43.39,17.27
Kanungu,78,UG,1587333599,58,-0.96,29.79,60.48,1.9
Touros,20,BR,1587333599,83,-5.2,-35.46,80.6,5.82
Shubarshi,100,KZ,1587333599,87,48.59,57.19,53.29,5.59
Severodvinsk,90,RU,1587333599,99,64.56,39.83,33.8,6.71
Alekseyevsk,0,RU,1587333599,91,57.84,108.35,16.54,4.32
Awjilah,57,LY,1587333599,24,29.11,21.29,71.4,4.38
Pisco,0,PE,1587333557,61,-13.7,-76.22,77.0,17.22
Grand-Santi,100,GF,1587333552,92,4.25,-54.38,78.3,3.56
Lavrentiya,99,RU,1587333600,91,65.58,-171.0,19.2,8.23
Santa Isabel,40,BR,1587333600,77,-23.32,-46.22,69.8,8.05
Santa Cruz de la Sierra,0,BO,1587333392,38,-17.8,-63.17,87.8,4.7
Chake Chake,100,TZ,1587333600,80,-5.25,39.77,80.24,10.89
Sindou,96,BF,1587333601,38,10.67,-5.17,87.3,1.19
Codrington,55,AU,1587333601,83,-38.27,141.97,59.27,22.26
Buchanan,40,LR,1587333601,83,5.88,-10.05,82.4,4.07
Sanbu,94,CN,1587333601,92,33.46,119.15,51.39,7.54
Dalian,40,CN,1587333601,71,38.91,121.6,50.0,17.9
Cabo San Lucas,5,MX,1587333488,44,22.89,-109.91,78.8,11.41
Rio Grande,0,BR,1587333602,76,-32.03,-52.1,70.0,1.99
Ballina,1,AU,1587333602,93,-28.87,153.57,60.8,4.7
Tura,16,IN,1587333603,81,25.52,90.22,70.16,4.16
Tongchuanshi,80,CN,1587333603,33,35.08,109.09,48.96,14.5
Araouane,0,ML,1587333604,29,18.9,-3.53,87.8,10.87
Saint-Augustin,100,CA,1587333510,93,51.23,-58.65,31.35,14.54
Marsh Harbour,74,BS,1587333604,72,26.54,-77.06,82.2,12.28
Nakhon Phanom,84,TH,1587333604,85,17.41,104.78,79.0,1.52
Zeya,100,RU,1587333605,86,53.75,127.27,17.55,10.98
Yeppoon,0,AU,1587333605,83,-23.13,150.73,73.4,6.93
Ostrołęka,0,PL,1587333312,80,53.09,21.58,30.99,7.99
Vardø,75,NO,1587333605,86,70.37,31.11,37.4,14.99
Naze,75,JP,1587333478,77,28.37,129.48,66.2,10.29
Clyde River,1,CA,1587333623,65,70.47,-68.59,6.8,17.22
Ahipara,100,NZ,1587333485,88,-35.17,173.17,61.61,6.44
Yulara,18,AU,1587333624,37,-25.24,130.99,71.6,6.93
Mocuba,17,MZ,1587333624,94,-16.84,36.99,68.86,5.37
Vágur,0,FO,1587333624,87,61.47,-6.81,45.54,15.48
Kuala Terengganu,40,MY,1587333624,94,5.33,103.14,80.6,3.36
Carnarvon,65,AU,1587333624,88,-24.87,113.63,71.6,12.75
Homer,90,US,1587333625,62,59.64,-151.55,51.8,4.7
Poum,99,NC,1587333517,78,-20.23,164.02,80.04,11.25
Gupitan,87,PH,1587333625,85,7.78,125.64,74.17,1.79
Port Blair,6,IN,1587333455,76,11.67,92.75,83.35,4.81
Namie,100,JP,1587333626,90,37.48,141.0,46.99,5.35
Sitka,90,US,1587333335,87,57.05,-135.33,48.2,4.7
Peniche,93,PT,1587333626,80,39.36,-9.38,59.0,5.99
Salamanca,8,ES,1587333626,81,40.83,-6.0,51.01,6.93
Belyy Yar,0,RU,1587333626,51,53.6,91.39,39.2,6.71
Hithadhoo,88,MV,1587333436,76,-0.6,73.08,84.72,10.49
Sai Buri,33,TH,1587333627,85,6.7,101.62,79.97,6.64
Oranjemund,5,NA,1587333627,93,-28.55,16.43,59.31,2.66
Bundaberg,3,AU,1587333627,94,-24.85,152.35,68.0,4.7
Şabyā,75,SA,1587333627,70,17.15,42.63,87.8,3.36
Asău,75,RO,1587333627,87,46.43,26.4,46.4,10.29
Havelock,100,US,1587333586,90,34.88,-76.9,69.01,8.01
Zhigansk,100,RU,1587333627,93,66.77,123.37,12.87,9.15
Marfino,75,RU,1587333628,82,55.7,37.38,35.6,6.71
Hadejia,32,NG,1587333628,11,12.45,10.04,86.88,8.16
Buin,0,CL,1587333628,34,-33.73,-70.75,84.2,5.82
Severo-Kuril'sk,83,RU,1587333628,91,50.68,156.12,29.23,11.56
Bubaque,80,GW,1587333628,74,11.28,-15.83,77.41,16.26
Mogadishu,78,SO,1587333368,72,2.04,45.34,84.29,8.05
Southbridge,62,US,1587333629,40,42.08,-72.03,57.0,5.01
Nikolskoye,90,RU,1587333629,90,59.7,30.79,39.2,2.24
Habiganj,67,BD,1587333421,86,24.38,91.42,75.02,3.69
Bambous Virieux,75,MU,1587333629,88,-20.34,57.76,73.99,6.93
Saint Augustine,40,US,1587333629,69,29.89,-81.31,88.0,3.36
Stettler,77,CA,1587333630,51,52.32,-112.72,48.0,17.0
Tiznit Province,79,MA,1587333630,70,29.58,-9.5,55.87,14.72
Iskateley,100,RU,1587333630,98,67.68,53.15,31.46,4.7
Cotonou,40,BJ,1587333630,83,6.37,2.42,80.6,9.17
Loei,84,TH,1587333630,84,17.42,101.5,79.0,4.16
Thomasville,85,US,1587333630,60,35.88,-80.08,66.0,1.01
Praia da Vitória,20,PT,1587333631,58,38.73,-27.07,57.2,24.74
Roebourne,100,AU,1587333449,59,-20.78,117.13,81.86,4.74
Tiquisate,40,GT,1587333631,49,14.28,-91.37,91.4,16.11
Taunggyi,0,MM,1587333631,38,20.78,97.03,60.98,1.95
Iqaluit,20,CA,1587333443,65,63.75,-68.51,5.0,5.82
Baghdad,0,IQ,1587333647,46,33.34,44.4,71.6,5.82
Nador,59,MA,1587333647,63,35.17,-2.93,64.4,20.8
Newport,16,GB,1587333647,71,51.59,-3.0,53.01,1.01
Comodoro Rivadavia,20,AR,1587333647,36,-45.87,-67.5,62.6,18.34
Merritt,90,CA,1587333647,42,50.11,-120.79,62.6,16.11
Raja,55,SS,1587333647,14,8.46,25.68,78.49,3.67
Bandar,7,ID,1587333648,86,2.05,99.75,73.62,1.7
Beyneu,100,KZ,1587333648,40,45.32,55.2,65.21,9.51
Madang,93,PG,1587333648,79,-5.22,145.8,80.11,2.37
Ilulissat,100,GL,1587333648,54,69.22,-51.1,30.2,25.28
Carutapera,77,BR,1587333648,82,-1.2,-46.02,80.69,8.3
Bethel,1,US,1587333649,33,41.37,-73.41,59.0,13.87
Mount Gambier,75,AU,1587333649,87,-37.83,140.77,57.2,12.75
Gigmoto,99,PH,1587333649,78,13.78,124.39,81.32,10.85
Mehamn,75,NO,1587333463,86,71.04,27.85,39.2,20.8
Outjo,28,NA,1587333649,63,-20.12,16.15,66.2,1.12
Norman Wells,90,CA,1587333649,63,65.28,-126.83,28.4,12.75
Leh,100,IN,1587333650,19,34.17,77.58,32.29,1.14
Sainte-Maxime,90,FR,1587333650,100,43.3,6.63,57.2,3.36
Khanbari,35,NP,1587333650,35,27.37,87.2,65.75,4.52
Westport,1,US,1587333650,54,41.14,-73.36,57.0,19.46
Asmara,99,ER,1587333583,21,15.33,38.93,62.89,2.51
Porto-Novo,40,BJ,1587333650,83,6.5,2.6,80.6,9.17
Praia,20,CV,1587333651,64,14.92,-23.51,73.4,19.46
Tommot,83,RU,1587333651,91,58.96,126.29,11.05,3.15
Hopewell,100,US,1587333651,53,37.3,-77.29,69.01,1.01
Baruun-Urt,83,MN,1587333651,76,46.68,113.28,22.12,15.64
Farafenni,47,GM,1587333651,19,13.57,-15.6,87.4,9.24
Parambu,70,BR,1587333652,76,-6.21,-40.69,75.25,4.07
São Gabriel,0,BR,1587333652,50,-30.34,-54.32,72.01,4.83
Polovinnoye,72,RU,1587333652,59,54.79,65.99,43.14,6.02
Wagga Wagga,90,AU,1587333652,76,-35.12,147.37,54.0,8.05
Toora-Khem,0,RU,1587333652,62,52.47,96.11,30.33,2.21
Kulhudhuffushi,16,MV,1587333652,72,6.62,73.07,86.22,8.14
Miles City,90,US,1587333653,57,46.41,-105.84,50.0,12.75
Srednekolymsk,72,RU,1587333653,91,67.45,153.68,0.99,11.61
Emerald,40,AU,1587333653,45,-23.53,148.17,68.0,10.29
Den Helder,0,NL,1587333650,57,52.96,4.76,50.0,23.04
Verkhnyaya Inta,100,RU,1587333653,93,65.98,60.31,34.0,4.52
Grudziądz,0,PL,1587333654,85,53.48,18.75,41.0,6.35
Chumphon,82,TH,1587333654,84,10.33,98.83,74.98,2.64
Constantine,75,DZ,1587333654,77,36.37,6.61,60.8,5.82
Los Llanos de Aridane,20,ES,1587333470,72,28.66,-17.92,66.2,14.99
Muros,54,ES,1587333669,87,42.78,-9.06,55.99,4.79
Nurota,0,UZ,1587333669,76,40.56,65.69,53.6,9.17
Zhashkiv,71,UA,1587333670,62,49.25,30.11,41.38,8.77
Hobyo,100,SO,1587333670,72,5.35,48.53,84.81,10.47
Tautira,100,PF,1587333670,62,-17.73,-149.15,89.6,6.93
Manzhouli,85,CN,1587333670,79,49.6,117.43,20.5,16.28
Lincoln,1,US,1587333670,27,40.8,-96.67,64.4,10.29
Dukat,100,RU,1587333670,81,62.55,155.55,-4.34,5.17
Hualmay,16,PE,1587333671,66,-11.1,-77.61,75.33,9.37
Nioro,51,GM,1587333671,27,13.35,-15.75,84.38,9.22
Fairbanks,75,US,1587333473,100,64.84,-147.72,44.01,3.36
Verkhnevilyuysk,91,RU,1587333671,95,63.45,120.32,11.25,4.45
Sinnamary,95,GF,1587333671,82,5.38,-52.95,80.55,15.64
Kavieng,71,PG,1587333451,74,-2.57,150.8,83.59,5.12
Qasigiannguit,100,GL,1587333672,54,68.82,-51.19,30.2,25.28
Luangwa,91,ZM,1587333672,57,-15.62,30.42,75.52,3.0
Inta,100,RU,1587333672,94,66.03,60.17,34.32,5.5
Jiaojiang,38,CN,1587333672,87,28.68,121.44,55.99,4.16
Mannārakkāt,40,IN,1587333672,83,10.98,76.47,80.6,2.24
Khorixas,65,NA,1587333673,33,-20.37,14.97,78.82,8.93
Talcahuano,100,CL,1587333517,68,-36.72,-73.12,64.4,13.87
São Gabriel da Cachoeira,66,BR,1587333673,84,-0.13,-67.09,82.42,2.44
Draguignan,90,FR,1587333673,100,43.53,6.47,57.2,3.36
Forst,0,DE,1587333673,54,51.73,14.63,44.01,5.61
Brodokalmak,18,RU,1587333673,61,55.57,62.08,32.0,2.24
Port Macquarie,9,AU,1587333673,94,-31.43,152.92,59.0,1.01
Balaipungut,69,ID,1587333674,94,1.05,101.28,78.8,0.85
Hofn,100,IS,1587333509,85,64.25,-15.21,43.56,4.81
Longonjo,100,AO,1587333674,58,-12.91,15.25,64.47,3.78
Wanning,98,CN,1587333674,89,18.8,110.4,77.38,10.0
Heraclea,100,TR,1587333674,36,37.51,34.05,59.47,2.28
Nieves,40,PH,1587333675,83,15.33,120.95,78.8,2.24
Aklavik,90,CA,1587333675,53,68.22,-135.01,21.2,4.7
Narathiwat,40,TH,1587333675,94,6.33,101.75,80.6,3.36
Sioux Lookout,75,CA,1587333441,32,50.1,-91.92,37.4,12.75
Kayalpattinam,0,IN,1587333675,70,8.57,78.12,84.31,0.85
Grand Gaube,75,MU,1587333533,88,-20.01,57.66,73.99,6.93
Krasnyy Chikoy,29,RU,1587333675,79,50.36,108.75,17.15,5.12
Tuatapere,53,NZ,1587333676,78,-46.13,167.68,50.0,5.99
Port Elizabeth,59,ZA,1587333575,82,-33.92,25.57,68.0,2.24
Ejby,16,DK,1587333676,64,55.49,12.08,39.2,3.85
Roald,0,NO,1587333676,93,62.58,6.13,42.01,8.05
Watsa,91,CD,1587333676,75,3.04,29.54,64.72,1.63
Lata,21,PT,1587333676,86,40.16,-8.33,55.0,4.36
Shimoda,100,JP,1587333676,93,34.67,138.95,50.0,1.99
Young,0,UY,1587333677,66,-32.68,-57.63,71.01,3.89
Cidreira,0,BR,1587333692,79,-30.18,-50.21,68.86,13.82
Tambacounda,66,SN,1587333692,20,13.75,-13.76,96.8,6.93
Saint Paul Harbor,90,US,1587333448,87,57.79,-152.41,44.6,8.05
Nelson Bay,71,AU,1587333692,87,-32.72,152.15,60.01,6.93
Katiola,50,CI,1587333511,74,8.13,-5.1,82.4,4.7
Choma,19,ZM,1587333693,53,-16.81,26.95,62.11,2.46
Mongoumba,72,CF,1587333693,75,3.64,18.59,73.94,2.1
Norden,0,DE,1587333693,74,53.6,7.2,46.99,3.0
Jaqué,72,PA,1587333693,69,7.52,-78.17,83.34,3.18
Geraldton,0,AU,1587333442,87,-28.77,114.6,55.4,11.41
Tateyama,75,JP,1587333693,93,34.98,139.87,50.0,4.7
Willowmore,0,ZA,1587333694,18,-33.29,23.49,70.27,5.37
Egvekinot,100,RU,1587333451,89,66.32,-179.17,9.41,13.69
Khovd,0,MN,1587333694,37,48.01,91.64,36.01,0.94
Margate,0,GB,1587333532,87,51.38,1.39,50.0,21.72
Nouadhibou,0,MR,1587333694,77,20.93,-17.03,66.2,20.8
Mikkeli,93,FI,1587333694,69,61.69,27.27,39.2,4.7
Kencong,100,ID,1587333695,72,-8.28,113.37,79.43,2.71
Juneau,75,US,1587333602,38,58.3,-134.42,60.8,18.34
Jiwani,92,PK,1587333695,80,25.05,61.74,80.17,10.47
Hervey Bay,9,AU,1587333695,94,-25.3,152.85,69.01,4.7
Billings Metropolitan Area,75,US,1587333609,33,45.78,-108.5,59.0,17.22
San Cristobal,40,VE,1587333695,52,7.77,-72.22,89.6,6.93
Trincomalee,1,LK,1587333695,79,8.57,81.23,81.14,6.02
Lagoa,46,PT,1587333428,64,39.05,-27.98,57.13,23.09
Bilma,78,NE,1587333696,12,18.69,12.92,86.0,4.54
Lodja,100,CD,1587333696,86,-3.48,23.43,70.12,2.39
São Geraldo do Araguaia,16,BR,1587333696,83,-6.4,-48.55,79.14,2.08
Cabinda,100,AO,1587333696,84,-5.55,12.2,80.55,4.43
Jönköping,5,SE,1587333696,63,57.78,14.16,39.0,2.24
Lodwar,100,KE,1587333697,51,3.12,35.6,78.57,2.15
Baykit,0,RU,1587333697,90,61.67,96.37,21.2,2.06
Nagato,99,JP,1587333697,98,34.38,131.2,57.0,5.99
Ürümqi,7,CN,1587333697,44,43.8,87.6,57.2,2.24
Labuhan,91,ID,1587333697,80,-6.88,112.21,79.0,1.77
Darhan,7,MN,1587333697,74,49.49,105.92,26.64,7.36
Banjar,100,ID,1587333698,100,-8.19,114.97,77.0,1.12
Alofi,61,NU,1587333698,74,-19.06,-169.92,84.2,12.75
Green River,75,US,1587333503,49,41.53,-109.47,46.4,26.4
Muzhi,98,RU,1587333698,97,65.37,64.67,33.82,2.93
